"","book","chapter","character","word_count"
"1","New Spring","Ch1: The Hook","Lan Mandragoran",5677
"2","New Spring","Ch2: A Wish Fulfilled","Moiraine Damodred",4949
"3","New Spring","Ch3: Practice","Moiraine Damodred",8708
"4","New Spring","Ch4: Leaving the Tower","Moiraine Damodred",6071
"5","New Spring","Ch5: The Human Heart","Moiraine Damodred",7958
"6","New Spring","Ch6: Surprises","Moiraine Damodred",5466
"7","New Spring","Ch7: The Itch","Moiraine Damodred",3302
"8","New Spring","Ch8: Shreds of Serenity","Moiraine Damodred",4266
"9","New Spring","Ch9: It Begins","Moiraine Damodred",4876
"10","New Spring","Ch10: It Finishes","Moiraine Damodred",2570
"11","New Spring","Ch11: Just Before Dawn","Moiraine Damodred",3299
"12","New Spring","Ch12: Entering Home","Moiraine Damodred",3475
"13","New Spring","Ch12: Entering Home","Siuan Sanche",1338
"14","New Spring","Ch12: Entering Home","Lan Mandragoran",633
"15","New Spring","Ch13: Business in the City","Moiraine Damodred",3733
"16","New Spring","Ch14: Changes","Moiraine Damodred",6544
"17","New Spring","Ch15: Into Canluum","Lan Mandragoran",2804
"18","New Spring","Ch16: The Deeps","Lan Mandragoran",4304
"19","New Spring","Ch17: An Arrival","Moiraine Damodred",5127
"20","New Spring","Ch18: A Narrow Passage","Moiraine Damodred",3743
"21","New Spring","Ch19: Pond Water","Moiraine Damodred",3726
"22","New Spring","Ch20: Breakfast in Manala","Lan Mandragoran",2895
"23","New Spring","Ch21: Some Tricks of the Power","Lan Mandragoran",1809
"24","New Spring","Ch21: Some Tricks of the Power","Moiraine Damodred",2504
"25","New Spring","Ch22: Keeping Custom","Lan Mandragoran",5116
"26","New Spring","Ch23: The Evening Star","Moiraine Damodred",3514
"27","New Spring","Ch24: Making Use of Invisibility","Moiraine Damodred",2902
"28","New Spring","Ch25: An Answer","Moiraine Damodred",4507
"29","New Spring","Ch26: When to Surrender","Lan Mandragoran",1119
"30","New Spring","Ch26: When to Surrender","Moiraine Damodred",2882
"31","New Spring","Epilogue","Moiraine Damodred",2035
"32","The Eye of the World","Prologue: Dragonmount","Lews Therin Telamon",2362
"33","The Eye of the World","Prologue: Dragonmount","Quote",254
"34","The Eye of the World","Prologue: Ravens","Egwene al'Vere",10044
"35","The Eye of the World","Ch1: An Empty Road","Rand al'Thor",7164
"36","The Eye of the World","Ch2: Strangers","Rand al'Thor",4956
"37","The Eye of the World","Ch3: The Peddler","Rand al'Thor",5260
"38","The Eye of the World","Ch4: The Gleeman","Rand al'Thor",5965
"39","The Eye of the World","Ch5: Winternight","Rand al'Thor",7123
"40","The Eye of the World","Ch6: The Westwood","Rand al'Thor",3411
"41","The Eye of the World","Ch7: Out of the Woods","Rand al'Thor",5682
"42","The Eye of the World","Ch8: A Place of Safety","Rand al'Thor",5934
"43","The Eye of the World","Ch9: Tellings of the Wheel","Rand al'Thor",6933
"44","The Eye of the World","Ch10: Leavetaking","Rand al'Thor",4048
"45","The Eye of the World","Ch11: The Road to Taren Ferry","Rand al'Thor",3567
"46","The Eye of the World","Ch12: Across the Taren","Rand al'Thor",5255
"47","The Eye of the World","Ch13: Choices","Rand al'Thor",7308
"48","The Eye of the World","Ch14: The Stag and Lion","Rand al'Thor",5890
"49","The Eye of the World","Ch15: Strangers and Friends","Rand al'Thor",9061
"50","The Eye of the World","Ch16: The Wisdom","Rand al'Thor",4246
"51","The Eye of the World","Ch17: Watchers and Hunters","Rand al'Thor",6565
"52","The Eye of the World","Ch18: The Caemlyn Road","Rand al'Thor",5529
"53","The Eye of the World","Ch19: Shadow's Waiting","Rand al'Thor",7094
"54","The Eye of the World","Ch20: Dust on the Wind","Rand al'Thor",2177
"55","The Eye of the World","Ch20: Dust on the Wind","Perrin Aybara",1469
"56","The Eye of the World","Ch20: Dust on the Wind","Rand al'Thor",3977
"57","The Eye of the World","Ch21: Listen to the Wind","Nynaeve al'Meara",5127
"58","The Eye of the World","Ch22: A Path Chosen","Perrin Aybara",2184
"59","The Eye of the World","Ch23: Wolfbrother","Perrin Aybara",5822
"60","The Eye of the World","Ch24: Flight Down the Arinelle","Rand al'Thor",5334
"61","The Eye of the World","Ch25: The Traveling People","Perrin Aybara",6144
"62","The Eye of the World","Ch26: Whitebridge","Rand al'Thor",8979
"63","The Eye of the World","Ch27: Shelter From the Storm","Perrin Aybara",4918
"64","The Eye of the World","Ch28: Footprints in the Air","Nynaeve al'Meara",3163
"65","The Eye of the World","Ch29: Eyes Without Pity","Perrin Aybara",6184
"66","The Eye of the World","Ch30: Children of Shadow","Perrin Aybara",6407
"67","The Eye of the World","Ch31: Play for Your Supper","Rand al'Thor",4545
"68","The Eye of the World","Ch32: Four Kings in Shadow","Rand al'Thor",7977
"69","The Eye of the World","Ch33: The Dark Waits","Rand al'Thor",10410
"70","The Eye of the World","Ch34: The Last Village","Rand al'Thor",5931
"71","The Eye of the World","Ch35: Caemlyn","Rand al'Thor",5354
"72","The Eye of the World","Ch36: Web of the Pattern","Rand al'Thor",5726
"73","The Eye of the World","Ch37: The Long Chase","Nynaeve al'Meara",3239
"74","The Eye of the World","Ch38: Rescue","Perrin Aybara",5934
"75","The Eye of the World","Ch39: Weaving of the Web","Rand al'Thor",4472
"76","The Eye of the World","Ch40: The Web Tightens","Rand al'Thor",9523
"77","The Eye of the World","Ch41: Old Friends and New Threats","Rand al'Thor",5812
